BANK_ID,BANK_CODE,BANK_NAME,COUNTRY_CODE,BANK_SIZE,IS_GSIB,TOTAL_ASSETS_BEUR
1,AT_ERST,Erste Group,AT,LARGE,0,343.0
2,AT_RBI,Raiffeisen Bank Intl,AT,MEDIUM,0,211.0
3,BE_BEL,Belfius,BE,MEDIUM,0,192.0
4,BE_KBC,KBC Group,BE,LARGE,0,354.0
5,BG_DSK,DSK Bank,BG,SMALL,0,18.0
6,CY_BOC,Bank of Cyprus,CY,SMALL,0,26.0
7,CZ_KB,Komercni Banka,CZ,MEDIUM,0,64.0
8,DE_CBK,Commerzbank,DE,LARGE,0,553.0
9,DE_DZB,DZ Bank,DE,LARGE,0,627.0
10,DE_DBK,Deutsche Bank,DE,LARGE,1,1337.0
11,DE_HCOB,Hamburg Commercial Bank,DE,MEDIUM,0,30.0
12,DE_LBW,LBBW,DE,LARGE,0,332.0
13,DE_NORD,NORD/LB,DE,MEDIUM,0,110.0
14,DK_DAN,Danske Bank,DK,LARGE,0,510.0
15,DK_JYS,Jyske Bank,DK,MEDIUM,0,91.0
16,EE_LHV,LHV Group,EE,SMALL,0,8.0
17,ES_BBVA,BBVA,ES,LARGE,1,775.0
18,ES_SAB,Banco Sabadell,ES,MEDIUM,0,240.0
19,ES_SAN,Banco Santander,ES,LARGE,1,1797.0
20,ES_CABK,CaixaBank,ES,LARGE,0,612.0
21,FI_OP,OP Group,FI,MEDIUM,0,178.0
22,FR_BNPP,BNP Paribas,FR,LARGE,1,2592.0
23,FR_BPCE,BPCE,FR,LARGE,1,1535.0
24,FR_ACA,Credit Agricole Group,FR,LARGE,1,2351.0
25,FR_HSBC,HSBC Continental Europe,FR,MEDIUM,0,240.0
26,FR_GLE,Societe Generale,FR,LARGE,1,1554.0
27,GR_ALPHA,Alpha Bank,GR,MEDIUM,0,75.0
28,GR_ETE,Eurobank Ergasias,GR,MEDIUM,0,79.0
29,GR_NBG,National Bank of Greece,GR,MEDIUM,0,75.0
30,GR_PIR,Piraeus Bank,GR,MEDIUM,0,80.0
31,HR_ZABA,Zagrebacka Banka,HR,SMALL,0,21.0
32,HU_OTP,OTP Bank,HU,MEDIUM,0,95.0
33,IE_AIB,AIB Group,IE,MEDIUM,0,134.0
34,IE_BIRG,Bank of Ireland,IE,MEDIUM,0,156.0
35,IS_LAN,Landsbankinn,IS,SMALL,0,13.0
36,IT_BAMI,Banco BPM,IT,MEDIUM,0,192.0
37,IT_ISP,Intesa Sanpaolo,IT,LARGE,1,964.0
38,IT_MED,Mediobanca,IT,MEDIUM,0,87.0
39,IT_BMPS,Monte dei Paschi,IT,MEDIUM,0,121.0
40,IT_UCG,UniCredit,IT,LARGE,1,802.0
41,LI_LLB,Liechtensteinische LB,LI,SMALL,0,22.0
42,LT_SBLT,Siauliu Bankas,LT,SMALL,0,6.0
43,LU_BIL,Banque Internationale Lux,LU,SMALL,0,28.0
44,LV_SWLV,Swedbank Latvia,LV,SMALL,0,9.0
45,MT_BOV,Bank of Valletta,MT,SMALL,0,14.0
46,NL_ABN,ABN AMRO,NL,LARGE,0,396.0
47,NL_INGA,ING Groep,NL,LARGE,1,975.0
48,NL_RABO,Rabobank,NL,LARGE,1,631.0
49,NO_DNB,DNB Bank,NO,LARGE,0,332.0
50,PL_PEKAO,Bank Pekao,PL,MEDIUM,0,78.0
51,PL_PKO,PKO Bank Polski,PL,MEDIUM,1,117.0
52,PL_MBK,mBank,PL,MEDIUM,1,50.0
53,PT_CGD,Caixa Geral de Depositos,PT,MEDIUM,0,100.0
54,PT_BCP,Millennium BCP,PT,MEDIUM,0,96.0
55,RO_BRD,BRD Groupe SG,RO,SMALL,0,19.0
56,SE_SHB,Handelsbanken,SE,LARGE,0,313.0
57,SE_NDA,Nordea,SE,LARGE,1,583.0
58,SE_SEB,SEB,SE,LARGE,0,357.0
59,SE_SWED,Swedbank,SE,MEDIUM,0,281.0
60,SI_NLB,NLB Group,SI,SMALL,0,26.0
61,SK_VUB,VUB Banka,SK,SMALL,0,23.0
62,AGG_AT,Country aggregate - AT,AT,AGGREGATE,0,
63,AGG_BE,Country aggregate - BE,BE,AGGREGATE,0,
64,AGG_CY,Country aggregate - CY,CY,AGGREGATE,0,
65,AGG_DE,Country aggregate - DE,DE,AGGREGATE,0,
66,AGG_DK,Country aggregate - DK,DK,AGGREGATE,0,
67,AGG_ES,Country aggregate - ES,ES,AGGREGATE,0,
68,AGG_EU,Country aggregate - EU,EU,AGGREGATE,0,
69,AGG_FI,Country aggregate - FI,FI,AGGREGATE,0,
70,AGG_FR,Country aggregate - FR,FR,AGGREGATE,0,
71,AGG_GR,Country aggregate - GR,GR,AGGREGATE,0,
72,AGG_HR,Country aggregate - HR,HR,AGGREGATE,0,
73,AGG_HU,Country aggregate - HU,HU,AGGREGATE,0,
74,AGG_IE,Country aggregate - IE,IE,AGGREGATE,0,
75,AGG_IT,Country aggregate - IT,IT,AGGREGATE,0,
76,AGG_LT,Country aggregate - LT,LT,AGGREGATE,0,
77,AGG_LU,Country aggregate - LU,LU,AGGREGATE,0,
78,AGG_LV,Country aggregate - LV,LV,AGGREGATE,0,
79,AGG_MT,Country aggregate - MT,MT,AGGREGATE,0,
80,AGG_NL,Country aggregate - NL,NL,AGGREGATE,0,
81,AGG_NO,Country aggregate - NO,NO,AGGREGATE,0,
82,AGG_PL,Country aggregate - PL,PL,AGGREGATE,0,
83,AGG_PT,Country aggregate - PT,PT,AGGREGATE,0,
84,AGG_RO,Country aggregate - RO,RO,AGGREGATE,0,
85,AGG_SE,Country aggregate - SE,SE,AGGREGATE,0,
86,AGG_SI,Country aggregate - SI,SI,AGGREGATE,0,
87,AGG_SK,Country aggregate - SK,SK,AGGREGATE,0,
