COUNTRY_CODE,COUNTRY_NAME,REGION,EU_MEMBER,EEA_MEMBER
AT,Austria,WEST,True,True
BE,Belgium,WEST,True,True
BG,Bulgaria,EAST,True,True
CY,Cyprus,SOUTH,True,True
CZ,Czechia,EAST,True,True
DE,Germany,WEST,True,True
DK,Denmark,NORTH,True,True
EE,Estonia,NORTH,True,True
ES,Spain,SOUTH,True,True
EU,European Union,EU_AGG,True,True
FI,Finland,NORTH,True,True
FR,France,WEST,True,True
GR,Greece,SOUTH,True,True
HR,Croatia,SOUTH,True,True
HU,Hungary,EAST,True,True
IE,Ireland,WEST,True,True
IS,Iceland,NORTH,False,True
IT,Italy,SOUTH,True,True
LI,Liechtenstein,WEST,False,True
LT,Lithuania,NORTH,True,True
LU,Luxembourg,WEST,True,True
LV,Latvia,NORTH,True,True
MT,Malta,SOUTH,True,True
NL,Netherlands,WEST,True,True
NO,Norway,NORTH,False,True
PL,Poland,EAST,True,True
PT,Portugal,SOUTH,True,True
RO,Romania,EAST,True,True
SE,Sweden,NORTH,True,True
SI,Slovenia,SOUTH,True,True
SK,Slovakia,EAST,True,True
