DATE_ID,REFERENCE_DATE,YEAR,QUARTER,YEAR_QUARTER,SEMESTER,SOURCE_LABEL
1,2018-03-31,2018,1,2018-Q1,1,Q1 2018
2,2018-06-30,2018,2,2018-Q2,1,Q2 2018
3,2018-09-30,2018,3,2018-Q3,2,Q3 2018
4,2018-12-31,2018,4,2018-Q4,2,Q4 2018
5,2019-03-31,2019,1,2019-Q1,1,Q1 2019
6,2019-06-30,2019,2,2019-Q2,1,Q2 2019
7,2019-09-30,2019,3,2019-Q3,2,Q3 2019
8,2019-12-31,2019,4,2019-Q4,2,Q4 2019
9,2020-03-31,2020,1,2020-Q1,1,Q1 2020
10,2020-06-30,2020,2,2020-Q2,1,Q2 2020
11,2020-09-30,2020,3,2020-Q3,2,Q3 2020
12,2020-12-31,2020,4,2020-Q4,2,Q4 2020
13,2021-03-31,2021,1,2021-Q1,1,Q1 2021
14,2021-06-30,2021,2,2021-Q2,1,Q2 2021
15,2021-09-30,2021,3,2021-Q3,2,Q3 2021
16,2021-12-31,2021,4,2021-Q4,2,Q4 2021
17,2022-03-31,2022,1,2022-Q1,1,Q1 2022
18,2022-06-30,2022,2,2022-Q2,1,Q2 2022
19,2022-09-30,2022,3,2022-Q3,2,Q3 2022
20,2022-12-31,2022,4,2022-Q4,2,Q4 2022
21,2023-03-31,2023,1,2023-Q1,1,Q1 2023
22,2023-06-30,2023,2,2023-Q2,1,Q2 2023
23,2023-09-30,2023,3,2023-Q3,2,Q3 2023
24,2023-12-31,2023,4,2023-Q4,2,Q4 2023
25,2024-03-31,2024,1,2024-Q1,1,Q1 2024
26,2024-06-30,2024,2,2024-Q2,1,Q2 2024
27,2024-09-30,2024,3,2024-Q3,2,Q3 2024
28,2024-12-31,2024,4,2024-Q4,2,Q4 2024
