COUNTRY_CODE,INDICATOR_CODE,REFERENCE_DATE,YEAR_QUARTER,VALUE
AT,CET1_FL,2018-03-31,2018-Q1,0.154182
AT,CET1_FL,2018-06-30,2018-Q2,0.1846
AT,CET1_FL,2018-09-30,2018-Q3,0.132951
AT,CET1_FL,2018-12-31,2018-Q4,0.155706
AT,CET1_FL,2019-03-31,2019-Q1,0.188116
AT,CET1_FL,2019-06-30,2019-Q2,0.192709
AT,CET1_FL,2019-09-30,2019-Q3,0.147296
AT,CET1_FL,2019-12-31,2019-Q4,0.176989
AT,CET1_FL,2020-03-31,2020-Q1,0.177374
AT,CET1_FL,2020-06-30,2020-Q2,0.199951
AT,CET1_FL,2020-09-30,2020-Q3,0.153287
AT,CET1_FL,2020-12-31,2020-Q4,0.19614
AT,CET1_FL,2021-03-31,2021-Q1,0.149803
AT,CET1_FL,2021-06-30,2021-Q2,0.152471
AT,CET1_FL,2021-09-30,2021-Q3,0.208764
AT,CET1_FL,2021-12-31,2021-Q4,0.21077
AT,CET1_FL,2022-03-31,2022-Q1,0.159849
AT,CET1_FL,2022-06-30,2022-Q2,0.186756
AT,CET1_FL,2022-09-30,2022-Q3,0.169482
AT,CET1_FL,2022-12-31,2022-Q4,0.18721
AT,CET1_FL,2023-03-31,2023-Q1,0.194962
AT,CET1_FL,2023-06-30,2023-Q2,0.198443
AT,CET1_FL,2023-09-30,2023-Q3,0.183359
AT,CET1_FL,2023-12-31,2023-Q4,0.176387
AT,CET1_FL,2024-03-31,2024-Q1,0.199368
AT,CET1_FL,2024-06-30,2024-Q2,0.220858
AT,CET1_FL,2024-09-30,2024-Q3,0.217651
AT,CET1_FL,2024-12-31,2024-Q4,0.226384
BE,CET1_FL,2018-03-31,2018-Q1,0.142247
BE,CET1_FL,2018-06-30,2018-Q2,0.144551
BE,CET1_FL,2018-09-30,2018-Q3,0.14187
BE,CET1_FL,2018-12-31,2018-Q4,0.164001
BE,CET1_FL,2019-03-31,2019-Q1,0.12329
BE,CET1_FL,2019-06-30,2019-Q2,0.135986
BE,CET1_FL,2019-09-30,2019-Q3,0.138121
BE,CET1_FL,2019-12-31,2019-Q4,0.161593
BE,CET1_FL,2020-03-31,2020-Q1,0.178238
BE,CET1_FL,2020-06-30,2020-Q2,0.155781
BE,CET1_FL,2020-09-30,2020-Q3,0.174569
BE,CET1_FL,2020-12-31,2020-Q4,0.163889
BE,CET1_FL,2021-03-31,2021-Q1,0.184129
BE,CET1_FL,2021-06-30,2021-Q2,0.148308
BE,CET1_FL,2021-09-30,2021-Q3,0.157843
BE,CET1_FL,2021-12-31,2021-Q4,0.164982
BE,CET1_FL,2022-03-31,2022-Q1,0.181038
BE,CET1_FL,2022-06-30,2022-Q2,0.185894
BE,CET1_FL,2022-09-30,2022-Q3,0.184392
BE,CET1_FL,2022-12-31,2022-Q4,0.18479
BE,CET1_FL,2023-03-31,2023-Q1,0.162264
BE,CET1_FL,2023-06-30,2023-Q2,0.156708
BE,CET1_FL,2023-09-30,2023-Q3,0.196505
BE,CET1_FL,2023-12-31,2023-Q4,0.161704
BE,CET1_FL,2024-03-31,2024-Q1,0.20157
BE,CET1_FL,2024-06-30,2024-Q2,0.181383
BE,CET1_FL,2024-09-30,2024-Q3,0.203173
BE,CET1_FL,2024-12-31,2024-Q4,0.189685
CY,CET1_FL,2018-03-31,2018-Q1,0.134154
CY,CET1_FL,2018-06-30,2018-Q2,0.164292
CY,CET1_FL,2018-09-30,2018-Q3,0.154731
CY,CET1_FL,2018-12-31,2018-Q4,0.119336
CY,CET1_FL,2019-03-31,2019-Q1,0.158143
CY,CET1_FL,2019-06-30,2019-Q2,0.160881
CY,CET1_FL,2019-09-30,2019-Q3,0.121014
CY,CET1_FL,2019-12-31,2019-Q4,0.148862
CY,CET1_FL,2020-03-31,2020-Q1,0.131199
CY,CET1_FL,2020-06-30,2020-Q2,0.150341
CY,CET1_FL,2020-09-30,2020-Q3,0.177871
CY,CET1_FL,2020-12-31,2020-Q4,0.176509
CY,CET1_FL,2021-03-31,2021-Q1,0.145026
CY,CET1_FL,2021-06-30,2021-Q2,0.170608
CY,CET1_FL,2021-09-30,2021-Q3,0.149937
CY,CET1_FL,2021-12-31,2021-Q4,0.190942
CY,CET1_FL,2022-03-31,2022-Q1,0.148077
CY,CET1_FL,2022-06-30,2022-Q2,0.145927
CY,CET1_FL,2022-09-30,2022-Q3,0.161687
CY,CET1_FL,2022-12-31,2022-Q4,0.169218
CY,CET1_FL,2023-03-31,2023-Q1,0.148948
CY,CET1_FL,2023-06-30,2023-Q2,0.175734
CY,CET1_FL,2023-09-30,2023-Q3,0.18607
CY,CET1_FL,2023-12-31,2023-Q4,0.157813
CY,CET1_FL,2024-03-31,2024-Q1,0.190578
CY,CET1_FL,2024-06-30,2024-Q2,0.1595
CY,CET1_FL,2024-09-30,2024-Q3,0.173936
CY,CET1_FL,2024-12-31,2024-Q4,0.174007
DE,CET1_FL,2018-03-31,2018-Q1,0.13496
DE,CET1_FL,2018-06-30,2018-Q2,0.1347
DE,CET1_FL,2018-09-30,2018-Q3,0.143186
DE,CET1_FL,2018-12-31,2018-Q4,0.175168
DE,CET1_FL,2019-03-31,2019-Q1,0.164046
