LEI_CODE,BANK_NAME,COUNTRY_CODE,REFERENCE_DATE,YEAR_QUARTER,INDICATOR_CODE,VALUE,TOTAL_ASSETS_BEUR,IS_GSIB,BANK_SIZE
AT_ERST,Erste Group,AT,2023-09-30,2023-Q3,CET1_FL,0.128442,343.0,0,LARGE
AT_ERST,Erste Group,AT,2023-12-31,2023-Q4,CET1_FL,0.169414,343.0,0,LARGE
AT_ERST,Erste Group,AT,2024-03-31,2024-Q1,CET1_FL,0.153551,343.0,0,LARGE
AT_ERST,Erste Group,AT,2024-06-30,2024-Q2,CET1_FL,0.146637,343.0,0,LARGE
AT_RBI,Raiffeisen Bank Intl,AT,2023-09-30,2023-Q3,CET1_FL,0.148441,211.0,0,MEDIUM
AT_RBI,Raiffeisen Bank Intl,AT,2023-12-31,2023-Q4,CET1_FL,0.168606,211.0,0,MEDIUM
AT_RBI,Raiffeisen Bank Intl,AT,2024-03-31,2024-Q1,CET1_FL,0.139244,211.0,0,MEDIUM
AT_RBI,Raiffeisen Bank Intl,AT,2024-06-30,2024-Q2,CET1_FL,0.18557,211.0,0,MEDIUM
BE_BEL,Belfius,BE,2023-09-30,2023-Q3,CET1_FL,0.181965,192.0,0,MEDIUM
BE_BEL,Belfius,BE,2023-12-31,2023-Q4,CET1_FL,0.172899,192.0,0,MEDIUM
BE_BEL,Belfius,BE,2024-03-31,2024-Q1,CET1_FL,0.143855,192.0,0,MEDIUM
BE_BEL,Belfius,BE,2024-06-30,2024-Q2,CET1_FL,0.171436,192.0,0,MEDIUM
BE_KBC,KBC Group,BE,2023-09-30,2023-Q3,CET1_FL,0.150659,354.0,0,LARGE
BE_KBC,KBC Group,BE,2023-12-31,2023-Q4,CET1_FL,0.13326,354.0,0,LARGE
BE_KBC,KBC Group,BE,2024-03-31,2024-Q1,CET1_FL,0.152046,354.0,0,LARGE
BE_KBC,KBC Group,BE,2024-06-30,2024-Q2,CET1_FL,0.133068,354.0,0,LARGE
BG_DSK,DSK Bank,BG,2023-09-30,2023-Q3,CET1_FL,0.18649,18.0,0,SMALL
BG_DSK,DSK Bank,BG,2023-12-31,2023-Q4,CET1_FL,0.157281,18.0,0,SMALL
BG_DSK,DSK Bank,BG,2024-03-31,2024-Q1,CET1_FL,0.166671,18.0,0,SMALL
BG_DSK,DSK Bank,BG,2024-06-30,2024-Q2,CET1_FL,0.165095,18.0,0,SMALL
CY_BOC,Bank of Cyprus,CY,2023-09-30,2023-Q3,CET1_FL,0.179271,26.0,0,SMALL
CY_BOC,Bank of Cyprus,CY,2023-12-31,2023-Q4,CET1_FL,0.171085,26.0,0,SMALL
CY_BOC,Bank of Cyprus,CY,2024-03-31,2024-Q1,CET1_FL,0.173478,26.0,0,SMALL
CY_BOC,Bank of Cyprus,CY,2024-06-30,2024-Q2,CET1_FL,0.16397,26.0,0,SMALL
CZ_KB,Komercni Banka,CZ,2023-09-30,2023-Q3,CET1_FL,0.18329,64.0,0,MEDIUM
CZ_KB,Komercni Banka,CZ,2023-12-31,2023-Q4,CET1_FL,0.149946,64.0,0,MEDIUM
CZ_KB,Komercni Banka,CZ,2024-03-31,2024-Q1,CET1_FL,0.164122,64.0,0,MEDIUM
CZ_KB,Komercni Banka,CZ,2024-06-30,2024-Q2,CET1_FL,0.184978,64.0,0,MEDIUM
DE_CBK,Commerzbank,DE,2023-09-30,2023-Q3,CET1_FL,0.143096,553.0,0,LARGE
DE_CBK,Commerzbank,DE,2023-12-31,2023-Q4,CET1_FL,0.182857,553.0,0,LARGE
DE_CBK,Commerzbank,DE,2024-03-31,2024-Q1,CET1_FL,0.159007,553.0,0,LARGE
DE_CBK,Commerzbank,DE,2024-06-30,2024-Q2,CET1_FL,0.129871,553.0,0,LARGE
DE_DZB,DZ Bank,DE,2023-09-30,2023-Q3,CET1_FL,0.166764,627.0,0,LARGE
DE_DZB,DZ Bank,DE,2023-12-31,2023-Q4,CET1_FL,0.144789,627.0,0,LARGE
DE_DZB,DZ Bank,DE,2024-03-31,2024-Q1,CET1_FL,0.180129,627.0,0,LARGE
DE_DZB,DZ Bank,DE,2024-06-30,2024-Q2,CET1_FL,0.161231,627.0,0,LARGE
DE_DBK,Deutsche Bank,DE,2023-09-30,2023-Q3,CET1_FL,0.136561,1337.0,1,LARGE
DE_DBK,Deutsche Bank,DE,2023-12-31,2023-Q4,CET1_FL,0.174351,1337.0,1,LARGE
DE_DBK,Deutsche Bank,DE,2024-03-31,2024-Q1,CET1_FL,0.159254,1337.0,1,LARGE
DE_DBK,Deutsche Bank,DE,2024-06-30,2024-Q2,CET1_FL,0.188332,1337.0,1,LARGE
DE_HCOB,Hamburg Commercial Bank,DE,2023-09-30,2023-Q3,CET1_FL,0.154284,30.0,0,MEDIUM
DE_HCOB,Hamburg Commercial Bank,DE,2023-12-31,2023-Q4,CET1_FL,0.187321,30.0,0,MEDIUM
DE_HCOB,Hamburg Commercial Bank,DE,2024-03-31,2024-Q1,CET1_FL,0.180622,30.0,0,MEDIUM
DE_HCOB,Hamburg Commercial Bank,DE,2024-06-30,2024-Q2,CET1_FL,0.189134,30.0,0,MEDIUM
DE_LBW,LBBW,DE,2023-09-30,2023-Q3,CET1_FL,0.130125,332.0,0,LARGE
DE_LBW,LBBW,DE,2023-12-31,2023-Q4,CET1_FL,0.15892,332.0,0,LARGE
DE_LBW,LBBW,DE,2024-03-31,2024-Q1,CET1_FL,0.156346,332.0,0,LARGE
DE_LBW,LBBW,DE,2024-06-30,2024-Q2,CET1_FL,0.167751,332.0,0,LARGE
DE_NORD,NORD/LB,DE,2023-09-30,2023-Q3,CET1_FL,0.167322,110.0,0,MEDIUM
DE_NORD,NORD/LB,DE,2023-12-31,2023-Q4,CET1_FL,0.184565,110.0,0,MEDIUM
DE_NORD,NORD/LB,DE,2024-03-31,2024-Q1,CET1_FL,0.139146,110.0,0,MEDIUM
DE_NORD,NORD/LB,DE,2024-06-30,2024-Q2,CET1_FL,0.176366,110.0,0,MEDIUM
DK_DAN,Danske Bank,DK,2023-09-30,2023-Q3,CET1_FL,0.166178,510.0,0,LARGE
DK_DAN,Danske Bank,DK,2023-12-31,2023-Q4,CET1_FL,0.181286,510.0,0,LARGE
DK_DAN,Danske Bank,DK,2024-03-31,2024-Q1,CET1_FL,0.149326,510.0,0,LARGE
DK_DAN,Danske Bank,DK,2024-06-30,2024-Q2,CET1_FL,0.182576,510.0,0,LARGE
DK_JYS,Jyske Bank,DK,2023-09-30,2023-Q3,CET1_FL,0.176572,91.0,0,MEDIUM
DK_JYS,Jyske Bank,DK,2023-12-31,2023-Q4,CET1_FL,0.143655,91.0,0,MEDIUM
DK_JYS,Jyske Bank,DK,2024-03-31,2024-Q1,CET1_FL,0.187915,91.0,0,MEDIUM
DK_JYS,Jyske Bank,DK,2024-06-30,2024-Q2,CET1_FL,0.157531,91.0,0,MEDIUM
EE_LHV,LHV Group,EE,2023-09-30,2023-Q3,CET1_FL,0.154463,8.0,0,SMALL
EE_LHV,LHV Group,EE,2023-12-31,2023-Q4,CET1_FL,0.15133,8.0,0,SMALL
EE_LHV,LHV Group,EE,2024-03-31,2024-Q1,CET1_FL,0.199529,8.0,0,SMALL
EE_LHV,LHV Group,EE,2024-06-30,2024-Q2,CET1_FL,0.179815,8.0,0,SMALL
ES_BBVA,BBVA,ES,2023-09-30,2023-Q3,CET1_FL,0.164921,775.0,1,LARGE
ES_BBVA,BBVA,ES,2023-12-31,2023-Q4,CET1_FL,0.15567,775.0,1,LARGE
ES_BBVA,BBVA,ES,2024-03-31,2024-Q1,CET1_FL,0.177445,775.0,1,LARGE
ES_BBVA,BBVA,ES,2024-06-30,2024-Q2,CET1_FL,0.140558,775.0,1,LARGE
ES_SAB,Banco Sabadell,ES,2023-09-30,2023-Q3,CET1_FL,0.174273,240.0,0,MEDIUM
ES_SAB,Banco Sabadell,ES,2023-12-31,2023-Q4,CET1_FL,0.187772,240.0,0,MEDIUM
ES_SAB,Banco Sabadell,ES,2024-03-31,2024-Q1,CET1_FL,0.185369,240.0,0,MEDIUM
ES_SAB,Banco Sabadell,ES,2024-06-30,2024-Q2,CET1_FL,0.142376,240.0,0,MEDIUM
ES_SAN,Banco Santander,ES,2023-09-30,2023-Q3,CET1_FL,0.182695,1797.0,1,LARGE
ES_SAN,Banco Santander,ES,2023-12-31,2023-Q4,CET1_FL,0.169632,1797.0,1,LARGE
ES_SAN,Banco Santander,ES,2024-03-31,2024-Q1,CET1_FL,0.157073,1797.0,1,LARGE
ES_SAN,Banco Santander,ES,2024-06-30,2024-Q2,CET1_FL,0.18723,1797.0,1,LARGE
ES_CABK,CaixaBank,ES,2023-09-30,2023-Q3,CET1_FL,0.168509,612.0,0,LARGE
ES_CABK,CaixaBank,ES,2023-12-31,2023-Q4,CET1_FL,0.132936,612.0,0,LARGE
ES_CABK,CaixaBank,ES,2024-03-31,2024-Q1,CET1_FL,0.130894,612.0,0,LARGE
